id,budget,genre_name
1,14000000,Comedy
2,40000000,Comedy
2,40000000,Drama
2,40000000,Family
2,40000000,Romance
3,3300000,Drama
4,1200000,Thriller
4,1200000,Drama
5,0,Action
5,0,Thriller
6,8000000,Animation
6,8000000,Adventure
6,8000000,Family
7,14000000,Horror
7,14000000,Thriller
8,0,Documentary
9,0,Action
9,0,Comedy
9,0,Music
9,0,Family
9,0,Adventure
10,6000000,Comedy
10,6000000,Music
11,1000000,Drama
12,0,Comedy
13,15000000,Drama
14,53000000,Comedy
14,53000000,Crime
15,102000000,Action
15,102000000,Thriller
15,102000000,Science Fiction
15,102000000,Mystery
16,500000,Action
16,500000,Crime
16,500000,Drama
17,26000000,Horror
17,26000000,Thriller
18,0,Drama
18,0,Romance
19,8000000,Comedy
19,8000000,Romance
20,32000000,Action
20,32000000,Thriller
20,32000000,Crime
21,80000000,Adventure
21,80000000,Family
21,80000000,Science Fiction
22,4000000,Horror
22,4000000,Thriller
23,0,Thriller
23,0,Horror
24,0,Thriller
24,0,Mystery
24,0,Foreign
25,0,Horror
25,0,Comedy
26,0,Comedy
26,0,Horror
26,0,Mystery
26,0,Thriller
27,10000000,Crime
27,10000000,Drama
27,10000000,Mystery
27,10000000,Thriller
28,11000000,Drama
28,11000000,Comedy
28,11000000,Romance
29,6000000,Animation
30,45000000,Action
30,45000000,Adventure
30,45000000,Crime
30,45000000,Thriller
31,13000000,Drama
31,13000000,Comedy
32,0,Mystery
32,0,Drama
32,0,Thriller
33,90000000,Fantasy
33,90000000,Action
33,90000000,Adventure
34,0,Horror
35,140000000,Action
35,140000000,Comedy
35,140000000,Crime
35,140000000,Thriller
36,30000000,Action
36,30000000,Crime
36,30000000,Thriller
37,0,Comedy
37,0,Romance
38,50000000,Action
38,50000000,Drama
38,50000000,Science Fiction
38,50000000,Thriller
39,0,Thriller
40,3800000,War
40,3800000,Western
41,0,Action
41,0,Documentary
42,3000000,Crime
42,3000000,Drama
43,25000000,Comedy
44,6000000,Drama
45,15000000,Comedy
45,15000000,Romance
46,3906840,Crime
46,3906840,Drama
46,3906840,Mystery
46,3906840,Romance
46,3906840,Thriller
47,80000000,Animation
47,80000000,Family
47,80000000,Comedy
47,80000000,Adventure
48,44000000,Crime
48,44000000,Drama
48,44000000,Mystery
48,44000000,Western
49,0,Drama
49,0,Comedy
50,38000000,Science Fiction
50,38000000,Action
50,38000000,Adventure
50,38000000,Thriller
51,560000,Romance
51,560000,Drama
51,560000,Comedy
52,12000000,Adventure
52,12000000,Comedy
53,0,Adventure
53,0,Family
54,0,Drama
54,0,Family
54,0,Romance
55,20000000,Action
56,0,Comedy
56,0,Drama
56,0,Romance
57,0,Comedy
57,0,Drama
58,125000000,Action
58,125000000,Crime
58,125000000,Fantasy
59,0,Music
59,0,Romance
60,14000000,Action
60,14000000,Adventure
60,14000000,Comedy
61,150000000,Adventure
61,150000000,Action
61,150000000,Thriller
62,4000000,Drama
63,0,Thriller
63,0,Fantasy
63,0,Crime
63,0,Drama
64,5000000,Horror
64,5000000,Thriller
65,12000000,Drama
65,12000000,Adventure
66,1500000,Action
67,12000000,Crime
67,12000000,Comedy
68,0,Drama
69,2000000,Crime
69,2000000,Drama
70,85000000,Action
70,85000000,Crime
70,85000000,Drama
70,85000000,Thriller
71,29000000,Drama
71,29000000,Mystery
71,29000000,Thriller
71,29000000,Fantasy
72,0,Drama
73,11000000,Comedy
73,11000000,Music
74,0,Crime
74,0,Documentary
75,445000,Crime
75,445000,Drama
76,17000000,Horror
76,17000000,Comedy
77,500000,Drama
77,500000,Romance
77,500000,Foreign
78,6000000,Comedy
79,0,Crime
79,0,Drama
79,0,Action
79,0,Thriller
80,1500000,Horror
80,1500000,Thriller
81,15000000,Action
81,15000000,Crime
81,15000000,Drama
81,15000000,Thriller
82,10284523,Comedy
82,10284523,Drama
82,10284523,Romance
83,43000000,Drama
83,43000000,Horror
83,43000000,Mystery
83,43000000,Thriller
84,28000000,Thriller
84,28000000,Science Fiction
85,2000000,Horror
85,2000000,Mystery
86,50000000,Action
86,50000000,Adventure
86,50000000,Drama
86,50000000,Mystery
86,50000000,Science Fiction
86,50000000,Thriller
87,8000000,Drama
88,7500000,Crime
88,7500000,Action
88,7500000,Comedy
88,7500000,Thriller
89,20000000,Drama
89,20000000,History
90,0,Drama
90,0,Thriller
90,0,Mystery
90,0,Romance
91,30000000,Action
91,30000000,Crime
92,0,Drama
93,35000000,War
93,35000000,Adventure
93,35000000,Drama
93,35000000,Romance
94,0,Drama
94,0,History
95,15000000,Thriller
95,15000000,Drama
95,15000000,Mystery
96,0,Drama
97,2500000,Action
97,2500000,Comedy
97,2500000,Thriller
97,2500000,Romance
98,0,Fantasy
98,0,Drama
99,10500000,Animation
99,10500000,Comedy
99,10500000,Adventure
99,10500000,Family
100,6000000,Action
100,6000000,Crime
100,6000000,Drama
101,7000000,Action
101,7000000,Thriller
101,7000000,Science Fiction
101,7000000,Crime
101,7000000,Horror
102,60000000,Drama
102,60000000,Romance
103,0,Action
103,0,Comedy
103,0,Crime
103,0,Foreign
104,0,Drama
105,0,Comedy
106,10900000,Drama
107,31000000,Drama
108,72000000,Action
108,72000000,Drama
108,72000000,History
108,72000000,War
109,14000000,Drama
109,14000000,Comedy
109,14000000,Romance
110,15000000,Drama
110,15000000,Adventure
110,15000000,Romance
111,75000000,Action
111,75000000,Comedy
111,75000000,Crime
111,75000000,Romance
112,35000000,Comedy
112,35000000,Romance
112,35000000,Drama
113,100000000,Thriller
113,100000000,Drama
113,100000000,Adventure
113,100000000,Action
113,100000000,History
114,20000000,Comedy
114,20000000,Drama
114,20000000,Romance
115,93000000,Adventure
115,93000000,Fantasy
115,93000000,Action
116,25000000,Action
116,25000000,Comedy
117,0,Drama
118,0,Action
118,0,Adventure
118,0,Comedy
119,0,Drama
119,0,Romance
120,12716953,Crime
120,12716953,Action
120,12716953,Comedy
121,90000000,Action
121,90000000,Comedy
121,90000000,Crime
121,90000000,Thriller
122,150000000,Adventure
122,150000000,Animation
122,150000000,Drama
122,150000000,Family
123,1500000,Action
123,1500000,Comedy
123,1500000,Crime
123,1500000,Mystery
123,1500000,Thriller
124,25000000,Action
124,25000000,Crime
124,25000000,Thriller
125,7500000,Comedy
125,7500000,Drama
125,7500000,Romance
126,40000000,Drama
126,40000000,War
127,0,Action
127,0,Adventure
127,0,Comedy
128,10000000,Horror
128,10000000,Drama
128,10000000,Thriller
128,10000000,Mystery
129,18000000,Horror
129,18000000,Thriller
130,2400000,Drama
131,4000000,Comedy
132,6000000,Drama
132,6000000,Thriller
133,0,Documentary
133,0,History
134,65000000,Comedy
134,65000000,Drama
135,10000000,Comedy
135,10000000,Romance
136,2000000,Adventure
136,2000000,Comedy
136,2000000,Drama
137,0,Drama
137,0,Family
138,9000000,Comedy
139,0,Thriller
140,110000000,Adventure
140,110000000,Action
140,110000000,Science Fiction
140,110000000,Thriller
141,14320000,Drama
141,14320000,Music
141,14320000,Romance
142,0,Drama
142,0,Romance
143,3500000,Drama
143,3500000,Comedy
144,18000000,Drama
145,4000000,Horror
145,4000000,Crime
